Cluster	PB_CTRL	PB_patient	Tissue	Tumor
C24	0.03	0	2.5	6.97
C14	0.13	0.03	4.27	7.77
C16	7.43	7.22	5.5	5.03
C5	0.33	0.07	7.47	6.97
C22	2.9	0.73	12.27	6.63
C2	20.9	18.62	7.53	1.9
C6	0.03	0.05	0.9	0.63
C10	4.97	3.23	1.6	1.47
C17	0	0	0.6	3.5
C15	1.87	5.03	4.57	6.57
C18	0.2	2.87	4.33	0.5
C12	0.13	0.6	1.87	1.13
C23	8.47	12.65	8.43	1.93
C4	6.27	16.55	5.53	1.07
C8	0.9	2.67	2.43	0.3
C1	1.8	2.73	0.6	0.2
C3	27.8	5.13	0.67	0.23
C20	0	0	0.4	1.73
C21	0.33	0.3	1.43	6.93
C13	0	0	0.1	3.43
C9	0.53	1.05	1.47	3.17
C7	0.2	0.63	1.07	2.73
