label	sample	group	donor
T111_CCR8mICOSm	T111_CCR8minus_ICOSminusReadsPerGene.out.tab	CCR8mICOSm	a
T111_CCR8pICOSp	T111_CCR8plus_ICOSplusReadsPerGene.out.tab	CCR8pICOSp	a
T124_CCR8mICOSm	T124_CCR8minus_ICOSminusReadsPerGene.out.tab	CCR8mICOSm	b
T124_CCR8pICOSp	T124_CCR8plus_ICOSplusReadsPerGene.out.tab	CCR8pICOSp	b
T140_CCR8mICOSm	T140_CCR8minus_ICOSminusReadsPerGene.out.tab	CCR8mICOSm	c
T140_CCR8pICOSp	T140_CCR8plus_ICOSplusReadsPerGene.out.tab	CCR8pICOSp	c
T141_CCR8mICOSm	T141_CCR8minus_ICOSminusReadsPerGene.out.tab	CCR8mICOSm	d
T141_CCR8pICOSp	T141_CCR8plus_ICOSplusReadsPerGene.out.tab	CCR8pICOSp	d
T148_CCR8mICOSm	T148_CCR8minus_ICOSminusReadsPerGene.out.tab	CCR8mICOSm	e
T148_CCR8pICOSp	T148_CCR8plus_ICOSplusReadsPerGene.out.tab	CCR8pICOSp	e
